Scenario,TID,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Status,Executed QA Name,Misc (Comments),Priority,Is Automated
Valid Login,TID-013,Sample login test case 13,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-014,Sample login test case 14,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-015,Sample login test case 15,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Valid Login,TID-016,Sample login test case 16,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-017,Sample login test case 17,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-018,Sample login test case 18,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Valid Login,TID-019,Sample login test case 19,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-020,Sample login test case 20,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-021,Sample login test case 21,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Valid Login,TID-022,Sample login test case 22,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-023,Sample login test case 23,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-024,Sample login test case 24,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Valid Login,TID-025,Sample login test case 25,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-026,Sample login test case 26,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-027,Sample login test case 27,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Invalid Login,TID-028,Sample login test case 28,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-029,Sample login test case 29,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-030,Sample login test case 30,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Invalid Login,TID-031,Sample login test case 31,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-032,Sample login test case 32,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-033,Sample login test case 33,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Invalid Login,TID-034,Sample login test case 34,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-035,Sample login test case 35,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-036,Sample login test case 36,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Invalid Login,TID-037,Sample login test case 37,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-038,Sample login test case 38,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-039,Sample login test case 39,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Invalid Login,TID-040,Sample login test case 40,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-041,Sample login test case 41,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-042,Sample login test case 42,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Invalid Login,TID-043,Sample login test case 43,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-044,Sample login test case 44,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-045,Sample login test case 45,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Invalid Login,TID-046,Sample login test case 46,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Invalid Login,TID-047,Sample login test case 47,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-048,Sample login test case 48,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Invalid Login,TID-049,Sample login test case 49,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Invalid Login,TID-050,Sample login test case 50,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Admin Login,TID-051,Admin Login test case 51,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Support Login,TID-052,Support Login test case 52,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Authentication,TID-053,Authentication test case 53,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authorization,TID-054,Authorization test case 54,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Session,TID-055,Session test case 55,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Admin Login,TID-056,Admin Login test case 56,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Support Login,TID-057,Support Login test case 57,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authentication,TID-058,Authentication test case 58,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Authorization,TID-059,Authorization test case 59,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Session,TID-060,Session test case 60,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Admin Login,TID-061,Admin Login test case 61,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Support Login,TID-062,Support Login test case 62,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Authentication,TID-063,Authentication test case 63,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authorization,TID-064,Authorization test case 64,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Session,TID-065,Session test case 65,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Admin Login,TID-066,Admin Login test case 66,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Support Login,TID-067,Support Login test case 67,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authentication,TID-068,Authentication test case 68,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Authorization,TID-069,Authorization test case 69,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Session,TID-070,Session test case 70,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Admin Login,TID-071,Admin Login test case 71,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Support Login,TID-072,Support Login test case 72,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Authentication,TID-073,Authentication test case 73,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authorization,TID-074,Authorization test case 74,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Session,TID-075,Session test case 75,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Admin Login,TID-076,Admin Login test case 76,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Support Login,TID-077,Support Login test case 77,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authentication,TID-078,Authentication test case 78,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Authorization,TID-079,Authorization test case 79,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Session,TID-080,Session test case 80,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Admin Login,TID-081,Admin Login test case 81,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Support Login,TID-082,Support Login test case 82,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Authentication,TID-083,Authentication test case 83,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authorization,TID-084,Authorization test case 84,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Session,TID-085,Session test case 85,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Admin Login,TID-086,Admin Login test case 86,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Support Login,TID-087,Support Login test case 87,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authentication,TID-088,Authentication test case 88,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Authorization,TID-089,Authorization test case 89,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Session,TID-090,Session test case 90,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Admin Login,TID-091,Admin Login test case 91,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Support Login,TID-092,Support Login test case 92,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Authentication,TID-093,Authentication test case 93,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authorization,TID-094,Authorization test case 94,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Session,TID-095,Session test case 95,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Admin Login,TID-096,Admin Login test case 96,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
Support Login,TID-097,Support Login test case 97,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Authentication,TID-098,Authentication test case 98,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,Yes
Authorization,TID-099,Authorization test case 99,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,Medium,No
Session,TID-100,Session test case 100,User/application prerequisites met,"1. Open application
2. Navigate to Login
3. Enter data
4. Submit request
5. Verify response",Expected behavior is observed,,Not Executed,,,High,Yes
API Validation,TID-101,API Validation test case 101,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Security,TID-102,Security test case 102,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Invalid Login,TID-103,Invalid Login test case 103,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Token Validation,TID-104,Token Validation test case 104,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Cookie Validation,TID-105,Cookie Validation test case 105,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,No
API Validation,TID-106,API Validation test case 106,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Security,TID-107,Security test case 107,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Invalid Login,TID-108,Invalid Login test case 108,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Token Validation,TID-109,Token Validation test case 109,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Cookie Validation,TID-110,Cookie Validation test case 110,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,Yes
API Validation,TID-111,API Validation test case 111,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Security,TID-112,Security test case 112,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Invalid Login,TID-113,Invalid Login test case 113,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Token Validation,TID-114,Token Validation test case 114,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Cookie Validation,TID-115,Cookie Validation test case 115,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,No
API Validation,TID-116,API Validation test case 116,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Security,TID-117,Security test case 117,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Invalid Login,TID-118,Invalid Login test case 118,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Token Validation,TID-119,Token Validation test case 119,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Cookie Validation,TID-120,Cookie Validation test case 120,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,Yes
API Validation,TID-121,API Validation test case 121,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Security,TID-122,Security test case 122,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Invalid Login,TID-123,Invalid Login test case 123,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Token Validation,TID-124,Token Validation test case 124,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Cookie Validation,TID-125,Cookie Validation test case 125,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,No
API Validation,TID-126,API Validation test case 126,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Security,TID-127,Security test case 127,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Invalid Login,TID-128,Invalid Login test case 128,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Token Validation,TID-129,Token Validation test case 129,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Cookie Validation,TID-130,Cookie Validation test case 130,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,Yes
API Validation,TID-131,API Validation test case 131,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Security,TID-132,Security test case 132,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Invalid Login,TID-133,Invalid Login test case 133,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Token Validation,TID-134,Token Validation test case 134,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Cookie Validation,TID-135,Cookie Validation test case 135,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,No
API Validation,TID-136,API Validation test case 136,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Security,TID-137,Security test case 137,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Invalid Login,TID-138,Invalid Login test case 138,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Token Validation,TID-139,Token Validation test case 139,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Cookie Validation,TID-140,Cookie Validation test case 140,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,Yes
API Validation,TID-141,API Validation test case 141,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Security,TID-142,Security test case 142,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Invalid Login,TID-143,Invalid Login test case 143,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Token Validation,TID-144,Token Validation test case 144,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Cookie Validation,TID-145,Cookie Validation test case 145,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,No
API Validation,TID-146,API Validation test case 146,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Security,TID-147,Security test case 147,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Invalid Login,TID-148,Invalid Login test case 148,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,Yes
Token Validation,TID-149,Token Validation test case 149,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,Medium,No
Cookie Validation,TID-150,Cookie Validation test case 150,System available,"1. Prepare request
2. Configure headers
3. Execute
4. Verify response
5. Validate logs",Application returns expected result,,Not Executed,,,High,Yes
CAPTCHA,TID-151,CAPTCHA test case 151,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,No
Rate Limiting,TID-152,Rate Limiting test case 152,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,Yes
Brute Force,TID-153,Brute Force test case 153,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,No
Response Validation,TID-154,Response Validation test case 154,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,Yes
Performance,TID-155,Performance test case 155,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,No
CAPTCHA,TID-156,CAPTCHA test case 156,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,Yes
Rate Limiting,TID-157,Rate Limiting test case 157,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,No
Brute Force,TID-158,Brute Force test case 158,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,Yes
Response Validation,TID-159,Response Validation test case 159,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,No
Performance,TID-160,Performance test case 160,System available,"1. Prepare test data
2. Invoke login API
3. Validate response
4. Verify database/logs",Expected behavior achieved,,Not Executed,,,High,Yes
