Test Case ID,Test Suite,Test Module,Test Case Title,Test Case Description,Pre-Conditions,Test Steps,Test Data (Input),Expected Result,Actual Result,Status,Priority,Remarks
TC-CN-016,CN Export Controls,COS Determination,Both COS Fields Missing - Fallback to Shipper Country,Verify that when both Line COS and Header COS are missing the system uses the Header Shipper country code as COS,"1. Order has NO Line COS and NO Header COS. 2. Header Shipper is populated","1. Create an order with no COS at line or header level. 2. Set Header Shipper to a company in CN. 3. Run License Determination. 4. Verify COS = Shipper's country code.","Header COS=NULL, Line COS=NULL, Header Shipper Country=CN","COS = CN (Header Shipper's country code)",,Not Executed,High,
TC-CN-017,CN Export Controls,CUD Determination,Line Level CUD Exists - Use Line CUD,Verify that Line-level CUD takes highest precedence for Country of Ultimate Destination determination,"1. Order has both Header CUD and Line CUD populated","1. Create an order with Header CUD = US and Line CUD = DE. 2. Run License Determination. 3. Verify CUD = Line CUD country code.","Header CUD=US, Line CUD=DE, Header End User Country=FR","CUD = DE (Line CUD country code)",,Not Executed,High,
TC-CN-018,CN Export Controls,CUD Determination,Line CUD Missing - Fallback to Header CUD,Verify that when Line CUD is not populated the system uses Header CUD for Country of Ultimate Destination,"1. Order has Header CUD but NO Line CUD","1. Create an order with Header CUD = DE and no Line CUD. 2. Run License Determination. 3. Verify CUD = Header CUD (DE).","Header CUD=DE, Line CUD=NULL, Header End User Country=FR","CUD = DE (Header CUD country code)",,Not Executed,High,
TC-CN-019,CN Export Controls,CUD Determination,Line and Header CUD Missing - Fallback to Header End User Country,Verify that when both CUD fields are missing the system uses the Header End User country code as CUD,"1. Order has NO Line CUD and NO Header CUD. 2. Header End User is populated","1. Create an order with no CUD at line or header. 2. Set Header End User to a company in FR. 3. Run License Determination. 4. Verify CUD = End User country code.","Header CUD=NULL, Line CUD=NULL, Header End User Country=FR, Header Shipto=NULL, Line Shipto=NULL","CUD = FR (Header End User's Country code)",,Not Executed,High,
TC-CN-020,CN Export Controls,CUD Determination,CUD and End User Missing - Fallback to Line Shipto Country,Verify that when CUD and End User fields are missing the system falls back to Line Shipto country for CUD,"1. No CUD at line or header. 2. No Header End User. 3. Line Shipto is populated","1. Create an order with no CUD and no End User. 2. Set Line Shipto to a company in JP. 3. Run License Determination. 4. Verify CUD = Line Shipto country.","Header CUD=NULL, Line CUD=NULL, Header End User=NULL, Line Shipto Country=JP","CUD = JP (Line Shipto's country code)",,Not Executed,High,
TC-CN-021,CN Export Controls,CUD Determination,All CUD Fields Missing - Fallback to Header Shipto Country,Verify that when all CUD-related fields are missing the final fallback for CUD is the Header Shipto country code,"1. No Line CUD. 2. No Header CUD. 3. No Header End User. 4. No Line Shipto","1. Create an order with all CUD-related fields as NULL. 2. Set Header Shipto to a company in AU. 3. Run License Determination. 4. Verify CUD = Header Shipto country.","Header CUD=NULL, Line CUD=NULL, Header End User=NULL, Line Shipto=NULL, Header Shipto Country=AU","CUD = AU (Header Shipto's country code)",,Not Executed,High,Last fallback in the CUD determination hierarchy
TC-CN-022,CN Export Controls,Shipto Determination,Line Int. Country ID Exists - Use Line Int. ID Country,Verify that when Line Intermediary Country ID is populated it is used as the Shipto country,"1. Order has Line Int. Country ID populated","1. Create an order with Line Int. Country ID pointing to a company in SG. 2. Run License Determination. 3. Verify Shipto = Line Int. ID country code.","Line Int. Country ID = SG company, Header Shipto = JP","Shipto = SG (Line Int. ID's country code)",,Not Executed,Medium,
TC-CN-023,CN Export Controls,Shipto Determination,Line Int. ID Missing - Fallback to Header Int. Country ID,Verify that when Line Int. Country ID is missing the system uses Header Int. Country ID for Shipto determination,"1. Line Int. Country ID = NULL. 2. Header Int. Country ID is populated","1. Create an order with no Line Int. Country ID. 2. Set Header Int. Country ID to a company in HK. 3. Run License Determination. 4. Verify Shipto = Header Int. country code.","Line Int. Country ID=NULL, Header Int. Country ID=HK company, Header Shipto=JP","Shipto = HK (Header Int. country code)",,Not Executed,Medium,
TC-CN-024,CN Export Controls,Shipto Determination,No Int. Country IDs - Fallback to Line Shipto ID Country,Verify that when both Intermediary fields are missing the system falls back to Line Shipto ID country,"1. No Int. Country IDs at line or header. 2. Line Shipto ID is populated","1. Create an order with no Int. Country IDs. 2. Set Line Shipto ID to a company in AU. 3. Run License Determination. 4. Verify Shipto = Line Shipto ID country.","Line Int. Country ID=NULL, Header Int. Country ID=NULL, Line Shipto ID Country=AU, Header Shipto=JP","Shipto = AU (Shipto ID's country code)",,Not Executed,Medium,
TC-CN-025,CN Export Controls,Shipto Determination,All Shipto Hierarchy Fields Missing - Use Header Shipto Country,Verify that when all Shipto hierarchy fields are absent the final fallback is the Header Shipto country,"1. Line Int. Country ID = NULL. 2. Header Int. Country ID = NULL. 3. Line Shipto ID = NULL","1. Create an order with all intermediary and line Shipto fields as NULL. 2. Set Header Shipto to a company in IN. 3. Run License Determination. 4. Verify Shipto = Header Shipto country.","Line Int. Country ID=NULL, Header Int. Country ID=NULL, Line Shipto ID=NULL, Header Shipto Country=IN","Shipto = IN (Header Shipto's country code)",,Not Executed,Medium,Last fallback in Shipto determination hierarchy
TC-CN-026,CN Export Controls,End-to-End Path,E2E - Happy Path: NLR - No License Required,Full end-to-end test for the most common positive scenario: non-embargo non-sanction destination with NOCLASS item,"1. All master data for CN export controls is configured. 2. Destination country has no embargo or sanction flags","1. Create an order with COS = CN. 2. Set CUD = JP (non-sanction non-embargo). 3. Use an item with ECN = NOCLASS and ECN.DOS = N. 4. Set EndUse = Commercial. 5. Run License Determination. 6. Verify full decision output.","COS=CN, CUD=JP, ECN=NOCLASS, ECN.DOS=N, EndUse=Commercial","Decision = NLR; No License Required; No holds; No comments added",,Not Executed,Critical,Primary happy path for CN controls
TC-CN-027,CN Export Controls,End-to-End Path,E2E - Full Embargo Country Destination,Full end-to-end test verifying that absolute embargo stops processing immediately with EL DOC Hold regardless of other fields,"1. Destination country is in LCS_ABSOLUTE_EMBARGO with ABSOLUTE = Y","1. Create an order with COS = CN. 2. Set CUD = CU (Cuba - full embargo). 3. Use any item (ECN = NOCLASS). 4. Run License Determination. 5. Verify embargo decision overrides all other checks.","COS=CN, CUD=CU, ECN=NOCLASS, ECN.DOS=N, EndUse=Commercial","Decision = Embargo; License = EL; Hold = DOC Hold; No further processing",,Not Executed,Critical,Embargo check must be first gate - no ECN processing should occur
TC-CN-028,CN Export Controls,End-to-End Path,E2E - Sanction Country with Military End Use,End-to-end test: sanction country + military end use results in immediate EL DOC Hold with sanctions comment,"1. Destination is in LCS_ABSOLUTE_EMBARGO with ABSOLUTE = N (sanction). 2. End Use = Military","1. Create order with COS = CN and CUD = sanction country. 2. Set EndUse = Military. 3. Use ECN = NOCLASS item. 4. Run License Determination. 5. Verify EL DOC Hold and sanctions comment.","COS=CN, CUD=SY, ECN=NOCLASS, ECN.DOS=N, EndUse=Military","License = EL; Hold = DOC Hold; Comments = 'Sanctions may apply'; Decision stops at military check",,Not Executed,Critical,
TC-CN-029,CN Export Controls,End-to-End Path,E2E - Sanction Country + Non-Military + Munitions List Item,End-to-end: sanction country with non-military end use where item is on Munitions List results in EL DOS Hold + sanctions comment,"1. Destination is sanction country (ABSOLUTE = N). 2. Item has ECN.DOS = Y. 3. End Use = Commercial","1. Create order with COS = CN and CUD = sanction country. 2. Set EndUse = Commercial. 3. Use item with ECN.DOS = Y. 4. Run License Determination. 5. Verify EL DOS Hold and sanctions comment.","COS=CN, CUD=SY, ECN.DOS=Y, EndUse=Commercial","License = EL; Hold = DOS Hold; Comments include 'Sanctions may apply'",,Not Executed,Critical,
TC-CN-030,CN Export Controls,End-to-End Path,E2E - Sanction Country + Non-Military + ECN = NOCLASS,End-to-end: sanction country with non-military end use and NOCLASS item results in NLR but WITH sanctions comment added,"1. Destination is sanction country (ABSOLUTE = N). 2. ECN.DOS = N. 3. ECN = NOCLASS. 4. End Use = Commercial","1. Create order with COS = CN and CUD = sanction country. 2. Set EndUse = Commercial. 3. Use item with ECN = NOCLASS and ECN.DOS = N. 4. Run License Determination. 5. Verify NLR decision WITH sanctions comment.","COS=CN, CUD=SY, ECN=NOCLASS, ECN.DOS=N, EndUse=Commercial","Decision = NLR; Comments = 'Sanctions may apply' (comment added even though no license required)",,Not Executed,High,Sanction comment flows through even when final decision is NLR
TC-CN-031,CN Export Controls,End-to-End Path,E2E - Sanction Country + Non-Military + Classified ECN,End-to-end: sanction country + non-military + specific ECN code results in EL DOC Hold with sanctions comment,"1. Destination is sanction country (ABSOLUTE = N). 2. ECN.DOS = N. 3. ECN = specific classification code. 4. End Use = Commercial","1. Create order with COS = CN and CUD = sanction country. 2. Set EndUse = Commercial. 3. Use item with ECN = 5A002 and ECN.DOS = N. 4. Run License Determination. 5. Verify EL DOC Hold and sanctions comment.","COS=CN, CUD=SY, ECN=5A002, ECN.DOS=N, EndUse=Commercial","License = EL; Hold = DOC Hold; Comments include 'Sanctions may apply'",,Not Executed,High,
TC-CN-032,CN Export Controls,End-to-End Path,E2E - Non-Sanction Country + Munitions List Item,End-to-end: non-sanction country with Munitions List item results in EL DOS Hold (no sanctions comment),"1. Destination is NOT a sanction country. 2. ECN.DOS = Y. 3. End Use = Commercial","1. Create order with COS = CN and CUD = JP (non-sanction). 2. Use item with ECN.DOS = Y. 3. Run License Determination. 4. Verify EL DOS Hold without any sanctions comment.","COS=CN, CUD=JP, ECN.DOS=Y, EndUse=Commercial","License = EL; Hold = DOS Hold; No 'Sanctions may apply' comment",,Not Executed,Critical,
TC-CN-033,CN Export Controls,End-to-End Path,E2E - Non-Sanction Country + Classified ECN Code,End-to-end: non-sanction country + specific ECN code (not NOCLASS) results in EL DOC Hold only,"1. Destination is NOT a sanction country. 2. ECN.DOS = N. 3. ECN = specific dual-use code","1. Create order with COS = CN and CUD = JP. 2. Use item with ECN = 5A002 and ECN.DOS = N. 3. Run License Determination. 4. Verify EL DOC Hold without any sanctions comment.","COS=CN, CUD=JP, ECN=5A002, ECN.DOS=N, EndUse=Commercial","License = EL; Hold = DOC Hold; No sanctions comment",,Not Executed,Critical,
TC-CN-034,CN Export Controls,Negative / Edge Cases,ECN.DOS Case Sensitivity Check,Verify system behavior when ECN.DOS is populated with lowercase 'y' vs uppercase 'Y' - the check must be case-insensitive or data must be validated,"1. ECN.DOS field accepts character input","1. Create order with COS = CN and CUD = JP. 2. Set ECN.DOS = 'y' (lowercase). 3. Run License Determination. 4. Compare result with ECN.DOS = 'Y' (uppercase). 5. Document behavior.","COS=CN, CUD=JP, ECN.DOS=y (lowercase)","System should handle both 'y' and 'Y' consistently - document actual behavior",,Not Executed,Medium,Data quality edge case
TC-CN-035,CN Export Controls,Negative / Edge Cases,Order with Multiple Lines with Different ECN Values,Verify that license determination runs per-line and each line is evaluated independently based on its own ECN values,"1. Order has multiple lines with different ECN classifications","1. Create an order with COS = CN. 2. Set CUD = JP. 3. Line 1: ECN = NOCLASS ECN.DOS = N. 4. Line 2: ECN = 5A002 ECN.DOS = N. 5. Run License Determination. 6. Verify each line gets its own decision.","COS=CN, CUD=JP, Line1: ECN=NOCLASS ECN.DOS=N, Line2: ECN=5A002 ECN.DOS=N","Line 1 = NLR; Line 2 = EL (DOC Hold); Results are per-line not per-header",,Not Executed,High,
TC-CN-036,CN Export Controls,Negative / Edge Cases,Sanction Country that is also Full Embargo - Embargo Takes Precedence,Verify that the Embargo check at the top of the flow takes precedence over Sanction check - system should stop at embargo decision,"1. Destination country may have both ABSOLUTE=Y flag (treated as full embargo)","1. Create order with COS = CN. 2. Set CUD = country that is both full embargo AND sanction (ABSOLUTE=Y). 3. Set EndUse = Commercial. 4. Run License Determination. 5. Verify Embargo decision - no sanction check performed.","COS=CN, CUD=CU (ABSOLUTE=Y), EndUse=Commercial","Decision = Embargo; License = EL; Hold = DOC Hold; System stops - no sanction processing",,Not Executed,High,First check in flowchart must be full embargo - short-circuit evaluation
TC-CN-037,CN Export Controls,Negative / Edge Cases,ECN Value with Leading or Trailing Spaces,Verify that ECN = 'NOCLASS ' (with trailing space) does NOT incorrectly match NOCLASS and result in unintended NLR decision,"1. ECN field may contain data with spaces due to data entry","1. Create order with COS = CN and CUD = JP. 2. Set ECN = 'NOCLASS ' (with trailing space). 3. Run License Determination. 4. Verify result.","COS=CN, CUD=JP, ECN='NOCLASS ' (trailing space), ECN.DOS=N","System should trim whitespace OR return EL/DOC Hold if exact match is required - document behavior",,Not Executed,Medium,Data quality / security edge case - must not return NLR for malformed NOCLASS
TC-CN-038,CN Export Controls,Negative / Edge Cases,HS-Based Controls vs ECN-Based Controls (Dual Recommendation),Verify that the system supports both ECN-based and HS-based export controls for China as recommended in flowchart notes,"1. Item has both ECN classification and HS code. 2. CN-specific HS controls may apply","1. Identify an item that has CN-specific controls at HS level. 2. Run ECN-based License Determination. 3. Run HS-based License Determination. 4. Compare both results as recommended in flowchart note.","COS=CN, CUD=JP, Item with CN-specific HS controls","Both ECN-based and HS-based controls return appropriate license decisions; HS check supplements ECN check per flowchart note",,Not Executed,High,Per flowchart note: For China recommend BOTH ECN-based and HS-based export control checks
TC-CN-039,CN Export Controls,Negative / Edge Cases,Military Intelligence End Use Added in Revision 08-03-21,Verify backward compatibility - Military Intelligence check works correctly and was not present in earlier versions,"1. System is on version that includes 08/03/21 revision. 2. Destination = sanction country","1. Create order with COS = CN. 2. Set CUD = sanction country. 3. Set EndUse = Military Intelligence (new end use type). 4. Run License Determination. 5. Verify behavior matches Military end use.","COS=CN, CUD=SY, EndUse=Military Intelligence, ECN=NOCLASS, ECN.DOS=N","License = EL; Hold = DOC Hold; Comments = 'Sanctions may apply' - same result as Military end use",,Not Executed,High,Per revision history: Military Intelligence added 08/03/21 alongside existing Military check
TC-CN-040,CN Export Controls,Negative / Edge Cases,COS = CUD (Intra-Country Transaction),Verify system behavior when Country of Source and Country of Ultimate Destination are the same country (domestic transaction),"1. Order represents a domestic transaction within the same country","1. Create an order with COS = CN. 2. Set CUD = CN (same as source). 3. Run License Determination. 4. Verify if CN-to-CN is handled as domestic or still processed through export controls.","COS=CN, CUD=CN, ECN=NOCLASS, ECN.DOS=N, EndUse=Commercial","System returns NLR or skips export controls for domestic CN-to-CN transactions - document expected behavior",,Not Executed,Medium,Edge case for domestic transactions
TC-CN-041,CN Export Controls,Negative / Edge Cases,No ECN Classification on Item (Unclassified Item),Verify that an unclassified item (no ECN assigned) does not bypass export controls and defaults to most restrictive outcome,"1. Item exists in the system with no ECN classification at all","1. Create order with COS = CN. 2. Set CUD = JP. 3. Use an item with NO ECN classification (ECN = NULL or empty string). 4. Run License Determination. 5. Verify system does not return NLR.","COS=CN, CUD=JP, ECN=NULL, ECN.DOS=NULL, EndUse=Commercial","License = EL; Hold = DOC Hold (unclassified items must NOT get NLR - treat as classified dual use)",,Not Executed,Critical,Security-critical: unclassified items must be held for review not released as NLR
TC-CN-042,CN Export Controls,Sanction Country Check,Sanction Country with Military Intelligence End Use - Boundary Test,Verify that the Military Intelligence check (08/03/21 revision) is correctly integrated and does not affect non-sanction country flows,"1. Destination = NON-sanction country. 2. End Use = Military Intelligence","1. Create order with COS = CN. 2. Set CUD = JP (non-sanction). 3. Set EndUse = Military Intelligence. 4. Run License Determination. 5. Verify flow is based only on ECN checks NOT sanction-military check.","COS=CN, CUD=JP (non-sanction), EndUse=Military Intelligence, ECN=NOCLASS, ECN.DOS=N","Decision = NLR (Military Intelligence check only applies inside Sanction Country branch of flowchart)",,Not Executed,High,Military Intelligence check is ONLY triggered when inside the Sanction Country = YES branch
TC-CN-043,CN Export Controls,Full Embargo Check,Embargo Country Added After Go-Live - Verify Real-Time Table Lookup,Verify that when a new country is added to LCS_ABSOLUTE_EMBARGO the system immediately picks up the new embargo without requiring a system restart or cache refresh,"1. System is live. 2. A new country is being added to LCS_ABSOLUTE_EMBARGO","1. Process an order for Country X - verify no embargo. 2. Add Country X to LCS_ABSOLUTE_EMBARGO with ABSOLUTE = Y. 3. Process a NEW order for Country X without restarting system. 4. Verify embargo decision is returned.","COS=CN, CUD=CountryX (newly embargoed), ECN=NOCLASS, ECN.DOS=N","New order for Country X returns Embargo decision immediately after table update",,Not Executed,High,Tests real-time table-driven configuration as per notes 2 and 3
TC-CN-044,CN Export Controls,Full Embargo Check,Sanction Country Removed from LCS_ABSOLUTE_EMBARGO - Verify Real-Time Update,Verify that when a country is removed from the sanctions list (ABSOLUTE = N record deleted) new orders are processed correctly without sanctions comment,"1. A country currently has ABSOLUTE = N in LCS_ABSOLUTE_EMBARGO. 2. Record is deleted from the table","1. Confirm sanction order gets sanctions comment for Country Y. 2. Delete Country Y from LCS_ABSOLUTE_EMBARGO. 3. Create new order for Country Y. 4. Verify no sanctions comment and normal ECN processing.","COS=CN, CUD=CountryY (sanction removed), ECN=NOCLASS, ECN.DOS=N","Order for Country Y processed normally without sanctions comment after table update",,Not Executed,High,Tests that un-sanctioning a country is immediately effective per table-driven design
